Symbol,Latest Funding Rate
BTCUSD_PERP,0.0001
ETHUSD_PERP,0.0001
LINKUSD_PERP,0.00010694
BNBUSD_PERP,0.00014117
TRXUSD_PERP,0.0001
DOTUSD_PERP,0.00018646
ADAUSD_PERP,0.00013275
EOSUSD_PERP,0.0001
LTCUSD_PERP,0.00011643
BCHUSD_PERP,0.0001
XRPUSD_PERP,0.00013
ETCUSD_PERP,0.0001
FILUSD_PERP,0.0001
EGLDUSD_PERP,0.0001
DOGEUSD_PERP,0.00024711
UNIUSD_PERP,0.0001
THETAUSD_PERP,0.0001
XLMUSD_PERP,0.0001
SOLUSD_PERP,0.0001
FTMUSD_PERP,0.0001
SANDUSD_PERP,0.0001
MANAUSD_PERP,0.0001
AVAXUSD_PERP,0.00029921
MATICUSD_PERP,0.0001
NEARUSD_PERP,0.0001
ATOMUSD_PERP,0.0001
AAVEUSD_PERP,0.0001
AXSUSD_PERP,0.0001
ALGOUSD_PERP,0.0001
RUNEUSD_PERP,0.0001
GMTUSD_PERP,0.0001
OPUSD_PERP,0.0001
ENSUSD_PERP,0.0001
CHZUSD_PERP,0.00011182
APTUSD_PERP,0.0001
